"","mds_1dim","date"
"1880_0_3_230",-32.6414680965943,1874
"1880_0_3_231",36.6631861665834,1884
"1880_0_3_232",185.269188101704,1903
"1880_0_3_233",115.663066589668,1914
"1880_0_3_234",106.228448906849,1918
"1880_0_3_235",14.2895034022758,1920
"1880_0_3_236",18.2939269129664,1884
"1880_0_3_237",-131.609281279013,1885
"1880_0_3_238",-103.987337305019,1896
"1880_0_3_239",-45.4215639809777,1886
"1880_0_3_240",33.2679875582726,1899
"1880_0_3_241",-54.2821059471525,1873
"1880_0_3_242",11.1515129748129,1874
"1880_0_3_243",155.189938747744,1879
"1880_0_3_244",98.5868142515321,1885
"1880_0_3_245",100.205897852478,1914
"1880_0_3_246",-109.591782505496,1881
"1880_0_3_247",98.9735728528119,1877
"1880_0_3_248",-105.486106981146,1915
"1880_0_3_249",-46.6671406227301,1895
"1880_0_3_250",173.980972048972,1902
"1880_0_3_251",112.031349523428,1907
"1880_0_3_252",55.3151856481202,1868
"1880_0_3_253",59.8581834167333,1894
"1880_0_3_254",90.4200246021337,1908
"1880_0_3_255",69.9958239817992,1901
"1880_0_3_256",179.129651589101,1913
"1880_0_3_257",91.2224271764228,1913
"1880_0_3_258",127.880098861598,1913
"1880_0_3_259",153.717562349815,1897
"1880_0_3_260",-64.7954459037946,1892
"1880_0_3_262",-64.5290284780954,1899
"1880_0_3_263",144.700428341334,1899
"1880_0_3_264",-3.02359414274709,1912
"1880_0_3_265",115.847153284631,1915
"1880_0_3_266",91.1520189404063,1886
"1880_0_3_267",15.111777913776,1887
"1880_0_3_268",54.8577533958701,1890
"1880_0_3_269",-7.48711310801631,1897
"1880_0_3_270",8.71067105520463,1897
"1880_0_3_271",72.7412083438545,1913
"1880_0_3_272",-83.0773077251381,1884
"1880_0_3_273",-93.2216621797621,1887
"1880_0_3_274",-102.67687479929,1889
"1880_0_3_275",-34.8705488338198,1891
"1880_0_3_276",-176.688409341551,1893
"1880_0_3_277",-161.585328666578,1905
"1880_0_3_278",-132.246071269341,1895
"1880_0_3_279",-38.7750336010972,1898
"1880_0_3_280",-30.2241320139651,1902
"1880_0_3_281",139.605633547322,1904
"1880_0_3_282",128.860637298333,1889
"1880_0_3_283",173.380245636398,1899
"1880_0_3_284",6.56346178610001,1909
"1880_0_3_285",120.969145174955,1909
"1880_0_3_286",-6.56489814291491,1914
"1880_0_3_287",139.339479888589,1917
"1880_0_3_288",-103.331607189899,1918
"1880_0_3_289",-142.089606012426,1920
"1880_0_3_290",90.1619610628226,1904
"1880_0_3_291",-133.132392165471,1894
"1880_0_3_292",-97.3425628098686,1898
"1880_0_3_293",35.9101108588826,1910
"1880_0_3_294",-107.96206847271,1892
"1880_0_3_295",-140.746875789819,1894
"1880_0_3_296",-45.5736283033393,1897
"1880_0_3_297",74.6897126516106,1888
"1880_0_3_298",119.537128260694,1897
"1880_0_3_299",8.94224199058865,1903
"1880_0_3_300",82.6345652844175,1902
"1880_0_3_301",-128.627941183111,1904
"1880_0_3_302",162.825070713693,1906
"1880_0_3_303",134.749173068358,1906
"1880_0_3_304",145.074105911011,1908
"1880_0_3_305",-2.47375588671832,1910
"1880_0_3_306",-3.07848004469373,1915
"1880_0_3_307",17.948538841569,1905
"1880_0_3_308",102.525584101764,1905
"1880_0_3_309",-29.5536602702739,1907
"1880_0_3_310",3.48081164722502,1907
"1880_0_3_311",-34.2682885691259,1903
"1880_0_3_312",-30.3348534210742,1899
"1880_0_3_313",-88.3197010552921,1912
"1880_0_3_314",-102.280842432392,1914
"1880_0_3_315",-21.5132163535921,1912
"1880_0_3_316",16.8791481384536,1910
"1880_0_3_317",47.5364252319046,1919
"1880_0_3_318",-2.5477059257597,1905
"1880_0_3_319",-3.57995585862956,1908
"1880_0_3_320",-54.1025606869017,1910
"1880_0_3_321",46.6325610415945,1912
"1880_0_3_322",92.8814727075008,1918
"1880_0_3_323",-138.34805598581,1916
"1880_0_3_324",54.2374906430142,1911
"1880_0_3_325",115.414866189786,1920
"1880_0_3_326",-37.5442447420682,1889
"1880_0_3_327",-106.583748966755,1896
"1880_0_3_328",-80.0854584639687,1888
"1880_0_3_329",12.8339886861684,1892
"1880_0_3_330",-102.158394011724,1892
"1880_0_3_331",-73.1043628150631,1892
"1880_0_3_332",-36.5233616895117,1852
"1880_0_3_333",3.72619607613062,1890
