"","1900","1905","1910","1915","1920","1925","1930","1935","1940","1945","1950","1955","1960","1965","1970"
"100@0",69.75,69.8035714285714,73.4464285714286,72.3571428571429,75.625,75.6428571428571,74.5714285714286,74.3035714285714,72.0714285714286,73.2142857142857,71.4285714285714,78.75,76.8928571428571,73.5178571428571,77.1607142857143
"200@0",72.25,71.0535714285714,76.3214285714286,73.5,76.625,77.5714285714286,75.6964285714286,76.8392857142857,74.5535714285714,76.0178571428571,76.1964285714286,80.875,79.75,78.5357142857143,77
"300@0",72.0892857142857,72.5714285714286,76.5714285714286,73.3392857142857,77.4464285714286,78.0714285714286,77.8571428571429,76.7678571428571,74.5357142857143,74.8928571428571,77.125,82.375,80.5178571428571,78.9821428571429,79.1428571428571
"400@0",75.0535714285714,75.3214285714286,79.4642857142857,75.3214285714286,79.0535714285714,79.3928571428571,78.6428571428571,78.25,76.2142857142857,76.75,76.1071428571429,81.6607142857143,81.9642857142857,79.2142857142857,81.1607142857143
"500@0",76.1964285714286,74.7678571428571,78.4821428571429,75.8214285714286,78.25,79,78.6071428571429,78.0535714285714,76.0892857142857,77.875,77.9285714285714,81.8392857142857,82.8928571428571,80.3035714285714,80.25
"600@0",75.1428571428571,76.7321428571429,78.9107142857143,75.9642857142857,78.6428571428571,79.8214285714286,77.5,77.2857142857143,75.8392857142857,76.4285714285714,76.3571428571429,82.6607142857143,82.6785714285714,81.3392857142857,79.8392857142857
"700@0",75.9821428571429,76,79.5178571428571,74.8928571428571,79.6785714285714,79.7142857142857,77.5178571428571,78.3214285714286,75.375,77.375,77.4107142857143,81.9464285714286,82.9821428571429,80.5892857142857,80
"800@0",75.5357142857143,76.2678571428571,79.5892857142857,76.5535714285714,79.6607142857143,78.875,78.3571428571429,75.75,75.375,76.1785714285714,76,83.0357142857143,82.875,81.1964285714286,81.2857142857143
